One Model With Late Self Training,Two Models With Late Self Training,Zipf Two Models With Late Self Training,"Zipf Two Models With q(t), S(t), and C(x,f)",Zipf_Two_Models_q_S_C,Zipf_n2_qS_ramp_KLJS,Zipf_n1_qS_ramp_KLJS,Zipf_n10_qS_ramp_KLJS
5.3019122270711725e-05,5.3019122270711725e-05,1.117950135797807e-05,1.03961577609876e-05,1.0365513173701997e-05,7.756641637554141e-05,1.0755700472297282e-05,1.6597454775239535e-05
5.291313704529257e-05,5.291313704529257e-05,1.1451007052370245e-05,9.910033727011725e-06,9.88090599679725e-06,7.406856016643107e-05,1.028185808933928e-05,1.5859735116174335e-05
5.270888537806814e-05,5.270888537806814e-05,1.172767718143026e-05,9.466458439178084e-06,9.438790255168018e-06,7.07596385311099e-05,9.84360607337564e-06,1.5171457030121824e-05
5.2413907029938754e-05,5.2413907029938754e-05,1.2001852479854823e-05,9.059607635818624e-06,9.033346662010704e-06,6.762505238497775e-05,9.437484917490092e-06,1.4528108957679376e-05
5.2035525049945774e-05,5.2035525049945774e-05,1.2267311269719602e-05,8.685659953365906e-06,8.66075505374557e-06,6.465242502281497e-05,9.060621432109852e-06,1.3925919651580796e-05
5.158081618224916e-05,5.158081618224916e-05,1.2519073821036664e-05,8.34144225528854e-06,8.317843411537247e-06,6.183092559551248e-05,8.710576969230972e-06,1.3361658818481399e-05
5.105658825036403e-05,5.105658825036403e-05,1.2753229924361996e-05,8.024277122398532e-06,8.001935433346878e-06,5.9150922234969125e-05,8.385254543525787e-06,1.2832520686025571e-05
5.046936353258227e-05,5.046936353258227e-05,1.296678711453578e-05,7.731877793157881e-06,7.710745499942176e-06,5.660375938378422e-05,8.082832652921074e-06,1.2336043036750945e-05
4.982536726067675e-05,4.982536726067675e-05,1.315753725536066e-05,7.462270833774043e-06,7.442301349996455e-06,5.418159850582284e-05,7.801715093746103e-06,1.1870046561746527e-05
4.913052047907628e-05,4.913052047907628e-05,1.3323939437879364e-05,7.213737200953815e-06,7.194885139678919e-06,5.187729699910061e-05,7.540491691611634e-06,1.1432587659142692e-05
4.839043659509804e-05,4.839043659509803e-05,1.3465017362722395e-05,6.9847663657577e-06,6.966987560305394e-06,4.968431262199794e-05,7.297907011624357e-06,1.1021920860851162e-05
4.7610421033768586e-05,4.7610421033768586e-05,1.358026957229528e-05,6.7740200958594585e-06,6.757271613603387e-06,4.759662613980315e-05,7.0728351366387796e-06,1.0636468485077696e-05
4.679547348436977e-05,4.679547348436977e-05,1.3669591073647866e-05,6.580303568393172e-06,6.564543717774912e-06,4.5608677592174414e-05,6.864259174533241e-06,1.0274795874482781e-05
4.595029229111074e-05,4.595029229111074e-05,1.3733205049768576e-05,6.402542147084292e-06,6.3877304784759864e-06,4.371531307819426e-05,6.671254511071304e-06,9.935591038441429e-06
4.507928059814469e-05,4.507928059814469e-05,1.3771603497624006e-05,6.2397625934276645e-06,6.225859894620838e-06,4.191173985750771e-05,6.492975062984404e-06,9.617647816404803e-06
4.4186553910323005e-05,4.4186553910323005e-05,1.378549575718065e-05,6.0910777833829965e-06,6.078046070492771e-06,4.019348814554358e-05,6.328641953923608e-06,9.319851885231753e-06
4.327594877632732e-05,4.327594877632732e-05,1.3775764008398148e-05,5.955674217213477e-06,5.943476721736995e-06,3.8556378372553885e-05,6.177534159027608e-06,9.04116908141384e-06
4.2351032340784986e-05,4.2351032340784986e-05,1.3743424914115802e-05,5.832801769000106e-06,5.821402921692282e-06,3.699649295192402e-05,6.038980756536744e-06,8.780635618973029e-06
4.141511254723354e-05,4.141511254723354e-05,1.3689596677078284e-05,5.721765241496914e-06,5.711130653644087e-06,3.551015180368281e-05,5.912354496090178e-06,8.537349867263575e-06
4.047124880486731e-05,4.047124880486731e-05,1.3615470860148214e-05,5.621917382683865e-06,5.61201382527589e-06,3.4093891028804925e-05,5.797066448898817e-06,8.31046541746081e-06
3.9522262959340086e-05,3.9522262959340086e-05,1.352228839101302e-05,5.532653090268096e-06,5.523448471495996e-06,3.2744444244064505e-05,5.692561548852515e-06,8.099185217162244e-06
3.857075043192042e-05,3.857075043192042e-05,1.341131923728834e-05,5.4534045847963565e-06,5.444867926237607e-06,3.145872617585669e-05,5.598314868588038e-06,7.90275659270921e-06
3.7619091412373175e-05,3.7619091412373175e-05,1.3283845295642586e-05,5.383637374762356e-06,5.375738786559333e-06,3.023381818128485e-05,5.5138285026358675e-06,7.720467011015545e-06
3.666946200939963e-05,3.666946200939963e-05,1.3141146090125852e-05,5.322846870878926e-06,5.315557526167557e-06,2.9066955420588902e-05,5.438628952476852e-06,7.551640458655208e-06
3.5723845278605584e-05,3.5723845278605584e-05,1.2984486920920586e-05,5.270555533574405e-06,5.263847642378881e-06,2.795551544998647e-05,5.372264926802962e-06,7.395634337047452e-06
3.385676608679168e-05,3.4784042062044864e-05,1.281510914581393e-05,5.226310459292546e-06,5.220157242067197e-06,2.689700804063509e-05,5.3143054853542685e-06,7.251836789796517e-06
3.211401469818759e-05,3.385168158563875e-05,1.2634222313338148e-05,5.1896813284832896e-06,5.184056989453402e-06,2.58890660594887e-05,5.264338467065902e-06,7.119664392368553e-06
3.048865476413052e-05,3.292823177141201e-05,1.244299789919824e-05,5.160258652153487e-06,5.155138352582341e-06,2.4929437272666425e-05,5.221969153427848e-06,6.998560145924358e-06
2.8973793259890296e-05,3.201500923069795e-05,1.2242564426720528e-05,5.137652265186525e-06,5.1330120966753145e-06,2.401597695260698e-05,5.186819126350459e-06,6.887991726744941e-06
2.7562653311544387e-05,3.111318891241639e-05,1.2034003777985347e-05,5.121490023869197e-06,5.117306981779255e-06,2.3146641187547303e-05,5.15852528676811e-06,6.787449950662825e-06
2.624863310604915e-05,3.0223813387368583e-05,1.1818348525385982e-05,5.111416672600085e-06,5.107668629672372e-06,2.2319480806363295e-05,5.136739005965544e-06,6.696447418543045e-06
2.50253522423225e-05,2.9347801755352723e-05,1.1596580133885254e-05,5.107092850923885e-06,5.1037585311585465e-06,2.153263584403915e-05,5.1211253863879635e-06,6.614517314383998e-06
2.38866868670177e-05,2.8485958166901554e-05,1.1369627902489872e-05,5.108194217100807e-06,5.1052531699493654e-06,2.0784330483383335e-05,5.111362612668103e-06,6.541212332222696e-06
2.2826794920457497e-05,2.763897995568461e-05,1.1138368529673137e-05,5.114410668586308e-06,5.111843243500449e-06,2.00728684174023e-05,5.107141376910733e-06,6.47610371188876e-06
2.184013278867455e-05,2.680746538119348e-05,1.09036262018655e-05,5.125445643229721e-06,5.123232964603289e-06,1.939662858423398e-05,5.108164365030911e-06,6.418780366884411e-06
2.09214646118663e-05,2.599192098432346e-05,1.0666173116894403e-05,5.141015487834005e-06,5.139139430368629e-06,1.8754061232942027e-05,5.114145793240046e-06,6.368848090378917e-06
2.0065865435901266e-05,2.519276856095119e-05,1.0426730365564031e-05,5.160848883060484e-06,5.159292047579937e-06,1.814368428395155e-05,5.124810985690189e-06,6.325928827581309e-06
1.926871931261321e-05,2.441035176065031e-05,1.018596910457855e-05,5.184686315599151e-06,5.183432005332988e-06,1.756407995260937e-05,5.139895985884973e-06,6.289660004666378e-06
1.852571335942654e-05,2.3644942319344777e-05,9.944511962868909e-06,5.21227959012797e-06,5.2113117874810834e-06,1.7013891608395836e-05,5.1591471957979115e-06,6.259693906034337e-06
1.7832828683653393e-05,2.289674593602124e-05,9.702934631208911e-06,5.243391374911392e-06,5.242694718732703e-06,1.649182084579755e-05,5.182321037748486e-06,6.23569709303377e-06
1.7186328966406464e-05,2.216590780465409e-05,9.461767591913054e-06,5.277795247493116e-06,5.2773550141639595e-06,1.5996624745856113e-05,5.2091836350100145e-06,6.217349858410819e-06
1.6582747390162012e-05,2.1452517813279363e-05,9.22149795149756e-06,5.315274433057435e-06,5.315076510773863e-06,1.552711331000427e-05,5.239510507890685e-06,6.204345711699491e-06
1.6018872486648174e-05,2.0756615422720694e-05,8.982571344546523e-06,5.355621709827933e-06,5.355652577053019e-06,1.5082147050047282e-05,5.273086282665713e-06,6.196390891566959e-06
1.5491733381103948e-05,2.0078194237853666e-05,8.745393881738184e-06,5.3986391305842305e-06,5.398885835653774e-06,1.4660631360654238e-05,5.309704718658766e-06,6.19320389035644e-06
1.4998584817262487e-05,1.94172062845215e-05,8.510334119123282e-06,5.4441376837643385e-06,5.444587824967204e-06,1.4261522064116798e-05,5.349167837325873e-06,6.194515130313982e-06
1.4536892265944884e-05,1.8773566005308203e-05,8.27772502937365e-06,5.491936967033471e-06,5.492578673176425e-06,1.3883819019232208e-05,5.391285921982759e-06,6.200066400786742e-06
1.4104317349400716e-05,1.814715398735671e-05,8.047865958890779e-06,5.541864872181454e-06,5.542686783645281e-06,1.3526564042445072e-05,5.43587728096e-06,6.209610453892234e-06
1.369870375336867e-05,1.7537820435307292e-05,7.821024557433706e-06,5.593757280428633e-06,5.594748530719696e-06,1.3188839137864383e-05,5.48276800030341e-06,6.222910618419387e-06
1.3318063748676507e-05,1.694538840224154e-05,7.597438669338225e-06,5.6474577673974265e-06,5.648607965196572e-06,1.2869764812168991e-05,5.531791701135859e-06,6.239740426239265e-06
1.296056540318524e-05,1.6369656791263803e-05,7.377318177496258e-06,5.702817317150277e-06,5.704116528859056e-06,1.256849846878846e-05,5.582789301406584e-06,6.259883250396617e-06
1.2624520531983172e-05,1.5810403140046657e-05,7.160846793082014e-06,5.759694044810449e-06,5.761132777592967e-06,1.2284232876278672e-05,5.635608781852095e-06,6.283131954198115e-06
1.2308373407870676e-05,1.5267386200321263e-05,6.948183785582346e-06,5.817952927374785e-06,5.819522112692032e-06,1.201619470628357e-05,5.690104956068688e-06,6.3092885507317e-06
1.201069023428562e-05,1.4740348323915563e-05,6.739465649041892e-06,5.877465542401031e-06,5.879156520033361e-06,1.176364313689274e-05,5.74613924465447e-06,6.338163872347979e-06
1.1730149367907387e-05,1.4229017666541633e-05,6.534807701594793e-06,5.938109814310265e-06,5.9399143168625975e-06,1.152586851757536e-05,5.803579453421946e-06,6.369577249712749e-06
1.146553226734647e-05,1.3733110220114576e-05,6.334305616347144e-06,5.999769768089927e-06,6.001679905973406e-06,1.1302191092200922e-05,5.8622995557131754e-06,6.403356200102571e-06
1.1215715136785509e-05,1.3252331683955444e-05,6.138036882517962e-06,6.062335290217407e-06,6.064343537100432e-06,1.109195977695e-05,5.922179478870553e-06,6.4393361246653135e-06
1.0979661228507574e-05,1.2786379184793596e-05,5.946062196459981e-06,6.125701896650076e-06,6.1278010753710265e-06,1.0894550990179503e-05,5.983104894929461e-06,6.477360014407033e-06
1.0756413765355517e-05,1.2334942855045583e-05,5.758426782780737e-06,6.189770507746587e-06,6.191953776679998e-06,1.070936753153926e-05,6.04496701560581e-06,6.517278164697287e-06
1.0545089442836389e-05,1.1897707278409708e-05,5.5751616462839e-06,6.254447229997781e-06,6.256708069865295e-06,1.0535837507844642e-05,6.107662391653181e-06,6.5589478981084625e-06
1.0344872470430147e-05,1.147435281138226e-05,5.3962847558628235e-06,6.319643144454477e-06,6.321975345571514e-06,1.0373413303395676e-05,6.171092716662206e-06,6.602233295422401e-06
1.0155009112367131e-05,1.106455678887468e-05,5.2218021618146215e-06,6.3852741017450735e-06,6.3876717516938805e-06,1.022157059259928e-05,6.235164635369575e-06,6.647004934650462e-06
9.974802689456816e-06,1.0667994621692915e-05,5.051709048313462e-06,6.451260523578708e-06,6.453717995298205e-06,1.0079807392900815e-05,6.299789556536751e-06,6.693139637922324e-06
9.803609005283683e-06,1.0284340793232411e-05,4.885990722994828e-06,6.51752721063057e-06,6.520039150913249e-06,9.947643156165142e-06,6.364883470449438e-06,6.740520226104792e-06
9.640832162084347e-06,9.549016633534171e-06,4.72462354576636e-06,6.584003156705349e-06,6.586564475091318e-06,9.824617896768486e-06,6.430366771078793e-06,6.7890352810155914e-06
9.48592073376625e-06,8.875392879195664e-06,4.567575799082277e-06,6.650621369072953e-06,6.653227227131163e-06,9.710291354771555e-06,6.496164082934723e-06,6.838578915098937e-06
9.338364265736331e-06,8.257283218128704e-06,4.414808502003118e-06,6.71731869486824e-06,6.719964495854883e-06,9.604242192643312e-06,6.562204092630455e-06,6.889050548430085e-06
9.197690073413007e-06,7.689212685836467e-06,4.266276170416577e-06,6.784035653443541e-06,6.786717032327582e-06,9.506067224094443e-06,6.628419385166542e-06,6.940354692915484e-06
9.0634603134511e-06,7.166331037189004e-06,4.121927525822309e-06,6.850716274559625e-06,6.853429088405434e-06,9.415380673661308e-06,6.694746284931596e-06,6.99240074355386e-06
8.9352693037849e-06,6.684336460909288e-06,3.9817061550888655e-06,6.917307942297513e-06,6.920048260994657e-06,9.331813465755576e-06,6.761124701406321e-06,7.0451027766217565e-06
8.812741070567821e-06,6.239408621375876e-06,3.8455511235771334e-06,6.983761244570538e-06,6.986525341900807e-06,9.255012541962993e-06,6.827497979547431e-06,7.098379354645064e-06
8.695527101945857e-06,5.828150030003654e-06,3.713397543995512e-06,7.050029828113075e-06,7.052814173144924e-06,9.18464020543709e-06,6.8938127548183264e-06,7.152153338015893e-06
8.583304290338944e-06,5.44753479750335e-06,3.58517710331005e-06,7.116070258819726e-06,7.118871507620437e-06,9.120373491291516e-06,6.9600188128245945e-06,7.206351703112068e-06
8.475773046517718e-06,5.094863886515484e-06,3.460818549980216e-06,7.181841887306509e-06,7.1846568749624844e-06,9.06190356194739e-06,7.026068953503946e-06,7.260905366774486e-06
8.372655570254036e-06,4.767726062169724e-06,3.3402481437303504e-06,7.247306719563584e-06,7.250132452499316e-06,9.008935126441626e-06,7.091918859812721e-06,7.3157490169958245e-06
8.273694263695551e-06,4.46396381936496e-06,3.2233900699993708e-06,7.312429292567563e-06,7.315262941153962e-06,8.961185882747594e-06,7.157526970844129e-06,7.370820949672503e-06
8.178650274872796e-06,4.181643645480959e-06,3.110166821139045e-06,7.377176554720185e-06,7.3800154461631775e-06,8.918385982202136e-06,7.222854359307162e-06,7.4260629112705395e-06
8.087302159897769e-06,3.919030052966534e-06,3.0004995463551763e-06,7.441517750979516e-06,7.4443593624798704e-06,8.8802775151726e-06,7.287864613289653e-06,7.481419947255039e-06
7.999444653462524e-06,3.674562886174473e-06,2.8943083723075143e-06,7.505424312549306e-06,7.508266264724944e-06,8.846614017134756e-06,7.352523722223998e-06,7.536840256132369e-06
7.914887538201915e-06,3.446837470165794e-06,2.791512696204205e-06,7.568869750992232e-06,7.571709801554368e-06,8.817159994367395e-06,7.4167999669699425e-06,7.592275048953833e-06
7.833454604353245e-06,3.234587225802909e-06,2.6920314531459246e-06,7.631829556633005e-06,7.634665594307734e-06,8.791690468502289e-06,7.480663813925121e-06,7.647678414129681e-06
7.754982691934171e-06,3.036668425481795e-06,2.5957833593939924e-06,7.694281101118138e-06,7.697111139805168e-06,8.769990539199104e-06,7.54408781307109e-06,7.703007187402648e-06
7.679320808375186e-06,2.85204680772689e-06,2.5026871331567845e-06,7.756203543999977e-06,7.759025717160524e-06,8.751854964244381e-06,7.607046499860049e-06,7.758220826830911e-06
7.60632931519104e-06,2.679785807114904e-06,2.4126616944095747e-06,7.817577743214077e-06,7.82039029848003e-06,8.737087756401324e-06,7.669516300845514e-06,7.813281292631294e-06
7.535879177861907e-06,2.519036189176862e-06,2.3256263451853892e-06,7.878386169320359e-06,7.881187463317101e-06,8.725501796363671e-06,7.7314754429587e-06,7.868152931734865e-06
7.46785127362616e-06,2.3690269086242763e-06,2.241500931698687e-06,7.938612823380438e-06,7.941401316755837e-06,8.716918461191964e-06,7.792903866331298e-06,7.922802366908464e-06
7.402135752366758e-06,2.2290570340022906e-06,2.1602059895898883e-06,7.998243158345349e-06,8.001017410997684e-06,8.71116726763461e-06,7.853783140564693e-06,7.977198390297574e-06
7.338631446207747e-06,2.0984886031953133e-06,2.081662873507353e-06,8.0572640038302e-06,8.060022670327977e-06,8.708085529758826e-06,7.914096384345408e-06,8.031311861247856e-06
