MSE_f1_H,MSE_f2_H,q(t),H_ratio,MSE_f1_H_2,MSE_f2_H_2,q(t)_2,H_ratio_2
1.2480690841652531e-05,1.0367765590369062e-05,1.0651479698253753e-13,1.01405256509674,1.2480690841652531e-05,1.0367765590369062e-05,1.0651479698253752e-13,1.01405256509674
1.2453384878121968e-05,1.0379873401974687e-05,0.0,1.0243108746845309,1.2453384878121968e-05,1.0379873401974687e-05,0.0,1.0243108746845309
1.2400897634055708e-05,1.0368497950331598e-05,0.0,1.0322217368751363,1.2400897634055707e-05,1.0368497950331598e-05,0.0,1.0322217368751365
1.2325295798218472e-05,1.0335398731072287e-05,0.0,1.0384156518254724,1.2325295798218472e-05,1.0335398731072289e-05,0.0,1.0384156518254724
1.2228577474975152e-05,1.028229648835899e-05,0.0,1.0432744870943509,1.2228577474975152e-05,1.028229648835899e-05,0.0,1.0432744870943509
1.2112664129331656e-05,1.0210862677607112e-05,0.0,1.0470609594226017,1.2112664129331655e-05,1.0210862677607112e-05,0.0,1.0470609594226017
1.197939468676617e-05,1.0122711277089052e-05,0.0,1.0499690013005432,1.197939468676617e-05,1.0122711277089052e-05,0.0,1.0499690013005432
1.183052145633984e-05,1.0019392602168074e-05,0.0,1.0521482898803345,1.183052145633984e-05,1.0019392602168074e-05,0.0,1.0521482898803345
1.166770758864792e-05,9.902388820087295e-06,0.0,1.0537179128516878,1.166770758864792e-05,9.902388820087295e-06,0.0,1.0537179128516878
1.149252581807612e-05,9.773110902163346e-06,0.0,1.0547747109557837,1.149252581807612e-05,9.773110902163346e-06,0.0,1.0547747109557835
1.1306458272155512e-05,9.632896784508271e-06,0.0,1.0553987219612695,1.1306458272155512e-05,9.632896784508271e-06,0.0,1.0553987219612697
1.1110897160090012e-05,9.48301053855888e-06,0.0,1.0556569187885327,1.1110897160090012e-05,9.48301053855888e-06,0.0,1.0556569187885327
1.0907146178231658e-05,9.32464237920382e-06,0.0,1.0556058815155067,1.0907146178231658e-05,9.32464237920382e-06,0.0,1.0556058815155067
1.069642249281574e-05,9.158909361585229e-06,0.0,1.055293770312614,1.069642249281574e-05,9.158909361585227e-06,0.0,1.055293770312614
1.047985918000918e-05,8.986856638087107e-06,0.0,1.0547618216055386,1.047985918000918e-05,8.986856638087107e-06,0.0,1.0547618216055386
1.0258508020598647e-05,8.80945916493789e-06,0.0,1.0540455082285003,1.0258508020598649e-05,8.80945916493789e-06,0.0,1.0540455082285003
1.003334256173966e-05,8.627623763543876e-06,0.0,1.0531754560943274,1.003334256173966e-05,8.627623763543876e-06,0.0,1.0531754560943274
9.80526137136148e-06,8.442191455394085e-06,0.0,1.0521781801691932,9.805261371361481e-06,8.442191455394085e-06,0.0,1.0521781801691932
