0.0,Self Learning Always On,Self Learning On at 15%,Self Learning On at 50%
4.1523252427119994e-05,4.071635590760662e-05,4.152325242712e-05,4.152325242712e-05
4.068892877119572e-05,3.918803913336055e-05,4.068892877119572e-05,4.068892877119572e-05
3.985395169778313e-05,3.775588679526628e-05,3.985395169778313e-05,3.985395169778313e-05
3.90185076500589e-05,3.640713179153211e-05,3.90185076500589e-05,3.90185076500589e-05
3.81829756207009e-05,3.513171156510502e-05,3.81829756207009e-05,3.81829756207009e-05
3.734788515792132e-05,3.392171584759638e-05,3.734788515792132e-05,3.734788515792132e-05
3.651388041185365e-05,3.277093275678579e-05,3.651388041185365e-05,3.651388041185365e-05
3.56816894844771e-05,3.1674477778830085e-05,3.56816894844771e-05,3.56816894844771e-05
3.485209842884428e-05,3.062849246244756e-05,3.485209842884428e-05,3.485209842884428e-05
3.402592931714664e-05,2.9629901566361413e-05,3.402592931714664e-05,3.402592931714664e-05
3.3204021863018275e-05,2.867621901876359e-05,3.3204021863018275e-05,3.3204021863018275e-05
3.238721814226382e-05,2.776539443102619e-05,3.238721814226382e-05,3.238721814226382e-05
3.157635000863717e-05,2.6895693102368013e-05,3.157635000863717e-05,3.157635000863717e-05
3.077222884805457e-05,2.606560349008978e-05,3.077222884805457e-05,3.077222884805457e-05
2.997563735629481e-05,2.5273767025012407e-05,2.997563735629481e-05,2.997563735629481e-05
2.918732306235205e-05,2.451892594172927e-05,2.8412590950525864e-05,2.918732306235205e-05
2.840799335264362e-05,2.379988548219521e-05,2.696074751295798e-05,2.840799335264362e-05
2.7638311780664547e-05,2.311548743046041e-05,2.5611265897700267e-05,2.7638311780664547e-05
2.6878895472809147e-05,2.2464592455741767e-05,2.435611980935105e-05,2.6878895472809147e-05
2.6130313464292625e-05,2.1846069189035564e-05,2.318799628696652e-05,2.6130313464292625e-05
2.539308581971336e-05,2.1258788342755325e-05,2.210021154071342e-05,2.539308581971336e-05
2.4667683411077145e-05,2.0701620510373587e-05,2.1086640918899463e-05,2.4667683411077145e-05
2.3954528242307055e-05,2.017343656012557e-05,2.0141660291354053e-05,2.395452824230705e-05
2.325399422361176e-05,1.9673109769365963e-05,1.9260096590463176e-05,2.325399422361176e-05
2.2566408311778638e-05,1.91995190395729e-05,1.843718565650941e-05,2.256640831177864e-05
2.1892051943678535e-05,1.875155269126284e-05,1.7668535890227485e-05,2.189205194367853e-05
2.12311627001739e-05,1.832811246780559e-05,1.6950096523087004e-05,2.12311627001739e-05
2.0583936146357488e-05,1.7928117481511673e-05,1.627812957583123e-05,2.0583936146357488e-05
1.9950527801742104e-05,1.755050791821234e-05,1.5649184790513148e-05,1.9950527801742104e-05
1.9331055200788356e-05,1.7194248381298048e-05,1.5060076994245238e-05,1.933105520078836e-05
1.872560001010055e-05,1.685833080587493e-05,1.4507865488733772e-05,1.872560001010055e-05
1.8134210173831792e-05,1.6541776911032506e-05,1.398983516364838e-05,1.8134210173831792e-05
1.755690206340095e-05,1.624364018552772e-05,1.3503479109415713e-05,1.755690206340095e-05
1.6993662611609707e-05,1.5963007421492223e-05,1.304648256134893e-05,1.6993662611609707e-05
1.6444451414722467e-05,1.569899982376618e-05,1.2616708046875392e-05,1.6444451414722467e-05
1.5909202789095076e-05,1.5450773730579958e-05,1.2212181635094797e-05,1.5909202789095076e-05
1.5387827771560803e-05,1.5217520985723184e-05,1.18310802063689e-05,1.5387827771560803e-05
1.4880216055051828e-05,1.499846900401712e-05,1.1471719671795543e-05,1.4880216055051828e-05
1.4386237852892065e-05,1.4792880571610664e-05,1.1132544080307085e-05,1.4386237852892065e-05
1.39057456868798e-05,1.4600053420959871e-05,1.081211555627282e-05,1.39057456868798e-05
1.3438576095719163e-05,1.4419319617797036e-05,1.050910501395377e-05,1.3438576095719165e-05
